theta0,theta1
8499.599649933216,-0.0214489635917023
-4.44357863002e+54,-5.66002679256e+59
-4.44364766583e+54,-5.66011472722e+59
-4.55024219021e+57,-5.79588994674e+62
-4.44361280263e+74,-5.66007032006e+79
-3.47260142412e+17,-4.41435618356e+19
0.00192037421137,0.0403336141444
-16653903.4951,-2117037142.07
nan,nan
0.0323136208677,0.0400946431545
1.44787429493,0.0289589807651
0.158977244589,0.0390982299476
1.44788647174,0.0289588849749
0.039998569234,0.0401568233684
2.62388380465,0.0197077737296
-inf,-inf
0.0401398843182,0.0401557094403
0.0401540155405,0.0401555980497
0.0197077737296,2.62388380465
0.0,0.0
